"REF_DATE","GEO","DGUID","Violations and calls for service","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-03","Total, Selected police services","","Calls for service, child custody matter - domestic","Actual incidents","Number","223","units","0","v1267112475","20.33.1","52","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Total assaults (levels 1, 2, 3) [141]","Actual incidents","Number","223","units","0","v1210497319","1.1.1","119","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497320","1.2.1","67","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497321","1.3.1","12","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1210497322","1.4.1","40","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Total sexual assaults (levels 1, 2, 3) [131]","Actual incidents","Number","223","units","0","v1210497323","1.5.1","13","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Sexual assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497324","1.6.1","4","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Sexual assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497325","1.7.1","0","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Sexual assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1210497326","1.8.1","9","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Assault against peace or public officer (level 1) [1460]","Actual incidents","Number","223","units","0","v1210497327","1.9.1","3","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Uttering threats [1627]","Actual incidents","Number","223","units","0","v1210497328","1.10.1","84","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Uttering threats by non-family","Actual incidents","Number","223","units","0","v1210497329","1.11.1","10","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Uttering threats by family","Actual incidents","Number","223","units","0","v1210497330","1.12.1","3","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Uttering threats where relationship type is unknown","Actual incidents","Number","223","units","0","v1210497331","1.13.1","71","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Total robbery [160]","Actual incidents","Number","223","units","0","v1210497332","1.14.1","3","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Dangerous operation, causing death or bodily harm [911]","Actual incidents","Number","223","units","0","v1210497333","1.15.1","0","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Impaired driving, causing death or bodily harm [921]","Actual incidents","Number","223","units","0","v1210497334","1.16.1","1","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Total breaking and entering [210]","Actual incidents","Number","223","units","0","v1210497335","1.17.1","60","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Breaking and entering, non-residential","Actual incidents","Number","223","units","0","v1210497336","1.18.1","20","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Breaking and entering, residential","Actual incidents","Number","223","units","0","v1210497337","1.19.1","40","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Breaking and entering where location type is unknown","Actual incidents","Number","223","units","0","v1234840063","1.34.1","0","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Motor vehicle theft [2135]","Actual incidents","Number","223","units","0","v1210497338","1.20.1","14","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Shoplifting [213]","Actual incidents","Number","223","units","0","v1210497339","1.21.1","137","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Fraud/identity theft/identity fraud [216]","Actual incidents","Number","223","units","0","v1210497340","1.22.1","80","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Fail to comply with order [3410]","Actual incidents","Number","223","units","0","v1210497341","1.23.1","122","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Impaired driving, operating while impaired [923]","Actual incidents","Number","223","units","0","v1210497342","1.24.1","48","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Provincial/Territorial acts related to COVID-19","Actual incidents","Number","223","units","0","v1210497343","1.25.1","","..","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Calls for service, domestic disturbances / disputes","Actual incidents","Number","223","units","0","v1210497344","1.26.1","172","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Calls for service, Mental Health Act (MHA) apprehension","Actual incidents","Number","223","units","0","v1210497345","1.27.1","207","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Calls for service, mental health - other","Actual incidents","Number","223","units","0","v1210497346","1.28.1","12","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Calls for service, suicide/attempted suicide","Actual incidents","Number","223","units","0","v1210497347","1.29.1","8","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Calls for service, overdose","Actual incidents","Number","223","units","0","v1210497348","1.30.1","","..","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Calls for service, child welfare check","Actual incidents","Number","223","units","0","v1210497349","1.31.1","","..","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Calls for service, check welfare - general","Actual incidents","Number","223","units","0","v1210497350","1.32.1","119","","","","0"
"2019-03","Royal Newfoundland Constabulary [10C01]","10C01","Calls for service, child custody matter - domestic","Actual incidents","Number","223","units","0","v1210497351","1.33.1","","..","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Total assaults (levels 1, 2, 3) [141]","Actual incidents","Number","223","units","0","v1210497352","2.1.1","11","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497353","2.2.1","7","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497354","2.3.1","4","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1210497355","2.4.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Total sexual assaults (levels 1, 2, 3) [131]","Actual incidents","Number","223","units","0","v1210497356","2.5.1","1","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Sexual assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497357","2.6.1","1","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Sexual assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497358","2.7.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Sexual assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1210497359","2.8.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Assault against peace or public officer (level 1) [1460]","Actual incidents","Number","223","units","0","v1210497360","2.9.1","1","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Uttering threats [1627]","Actual incidents","Number","223","units","0","v1210497361","2.10.1","1","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Uttering threats by non-family","Actual incidents","Number","223","units","0","v1210497362","2.11.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Uttering threats by family","Actual incidents","Number","223","units","0","v1210497363","2.12.1","1","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Uttering threats where relationship type is unknown","Actual incidents","Number","223","units","0","v1210497364","2.13.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Total robbery [160]","Actual incidents","Number","223","units","0","v1210497365","2.14.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Dangerous operation, causing death or bodily harm [911]","Actual incidents","Number","223","units","0","v1210497366","2.15.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Impaired driving, causing death or bodily harm [921]","Actual incidents","Number","223","units","0","v1210497367","2.16.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Total breaking and entering [210]","Actual incidents","Number","223","units","0","v1210497368","2.17.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Breaking and entering, non-residential","Actual incidents","Number","223","units","0","v1210497369","2.18.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Breaking and entering, residential","Actual incidents","Number","223","units","0","v1210497370","2.19.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Breaking and entering where location type is unknown","Actual incidents","Number","223","units","0","v1234840064","2.34.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Motor vehicle theft [2135]","Actual incidents","Number","223","units","0","v1210497371","2.20.1","1","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Shoplifting [213]","Actual incidents","Number","223","units","0","v1210497372","2.21.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Fraud/identity theft/identity fraud [216]","Actual incidents","Number","223","units","0","v1210497373","2.22.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Fail to comply with order [3410]","Actual incidents","Number","223","units","0","v1210497374","2.23.1","2","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Impaired driving, operating while impaired [923]","Actual incidents","Number","223","units","0","v1210497375","2.24.1","4","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Provincial/Territorial acts related to COVID-19","Actual incidents","Number","223","units","0","v1210497376","2.25.1","","..","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Calls for service, domestic disturbances / disputes","Actual incidents","Number","223","units","0","v1210497377","2.26.1","8","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Calls for service, Mental Health Act (MHA) apprehension","Actual incidents","Number","223","units","0","v1210497378","2.27.1","","..","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Calls for service, mental health - other","Actual incidents","Number","223","units","0","v1210497379","2.28.1","8","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Calls for service, suicide/attempted suicide","Actual incidents","Number","223","units","0","v1210497380","2.29.1","0","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Calls for service, overdose","Actual incidents","Number","223","units","0","v1210497381","2.30.1","2","","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Calls for service, child welfare check","Actual incidents","Number","223","units","0","v1210497382","2.31.1","","..","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Calls for service, check welfare - general","Actual incidents","Number","223","units","0","v1210497383","2.32.1","","..","","","0"
"2019-03","Kennebecasis Region, New Brunswick, municipal [13024]","13024","Calls for service, child custody matter - domestic","Actual incidents","Number","223","units","0","v1210497384","2.33.1","4","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Total assaults (levels 1, 2, 3) [141]","Actual incidents","Number","223","units","0","v1234840080","18.1.1","786","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1234840081","18.2.1","548","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1234840082","18.3.1","238","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1234840083","18.4.1","0","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Total sexual assaults (levels 1, 2, 3) [131]","Actual incidents","Number","223","units","0","v1234840084","18.5.1","116","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Sexual assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1234840085","18.6.1","92","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Sexual assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1234840086","18.7.1","24","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Sexual assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1234840087","18.8.1","0","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Assault against peace or public officer (level 1) [1460]","Actual incidents","Number","223","units","0","v1234840088","18.9.1","44","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Uttering threats [1627]","Actual incidents","Number","223","units","0","v1234840089","18.10.1","198","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Uttering threats by non-family","Actual incidents","Number","223","units","0","v1234840090","18.11.1","144","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Uttering threats by family","Actual incidents","Number","223","units","0","v1234840091","18.12.1","54","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Uttering threats where relationship type is unknown","Actual incidents","Number","223","units","0","v1234840092","18.13.1","0","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Total robbery [160]","Actual incidents","Number","223","units","0","v1234840093","18.14.1","168","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Dangerous operation, causing death or bodily harm [911]","Actual incidents","Number","223","units","0","v1234840094","18.15.1","1","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Impaired driving, causing death or bodily harm [921]","Actual incidents","Number","223","units","0","v1234840095","18.16.1","2","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Total breaking and entering [210]","Actual incidents","Number","223","units","0","v1234840096","18.17.1","565","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Breaking and entering, non-residential","Actual incidents","Number","223","units","0","v1234840097","18.18.1","174","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Breaking and entering, residential","Actual incidents","Number","223","units","0","v1234840098","18.19.1","391","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Breaking and entering where location type is unknown","Actual incidents","Number","223","units","0","v1234840113","18.34.1","0","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Motor vehicle theft [2135]","Actual incidents","Number","223","units","0","v1234840099","18.20.1","1024","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Shoplifting [213]","Actual incidents","Number","223","units","0","v1234840100","18.21.1","394","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Fraud/identity theft/identity fraud [216]","Actual incidents","Number","223","units","0","v1234840101","18.22.1","761","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Fail to comply with order [3410]","Actual incidents","Number","223","units","0","v1234840102","18.23.1","238","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Impaired driving, operating while impaired [923]","Actual incidents","Number","223","units","0","v1234840103","18.24.1","229","","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Provincial/Territorial acts related to COVID-19","Actual incidents","Number","223","units","0","v1234840104","18.25.1","","..","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Calls for service, domestic disturbances / disputes","Actual incidents","Number","223","units","0","v1234840105","18.26.1","","..","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Calls for service, Mental Health Act (MHA) apprehension","Actual incidents","Number","223","units","0","v1234840106","18.27.1","","..","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Calls for service, mental health - other","Actual incidents","Number","223","units","0","v1234840107","18.28.1","","..","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Calls for service, suicide/attempted suicide","Actual incidents","Number","223","units","0","v1234840108","18.29.1","","..","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Calls for service, overdose","Actual incidents","Number","223","units","0","v1234840109","18.30.1","","..","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Calls for service, child welfare check","Actual incidents","Number","223","units","0","v1234840110","18.31.1","","..","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Calls for service, check welfare - general","Actual incidents","Number","223","units","0","v1234840111","18.32.1","","..","","","0"
"2019-03","Montréal, Quebec, municipal [24175]","24175","Calls for service, child custody matter - domestic","Actual incidents","Number","223","units","0","v1234840112","18.33.1","","..","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Total assaults (levels 1, 2, 3) [141]","Actual incidents","Number","223","units","0","v1234840114","19.1.1","906","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1234840115","19.2.1","442","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1234840116","19.3.1","464","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1234840117","19.4.1","0","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Total sexual assaults (levels 1, 2, 3) [131]","Actual incidents","Number","223","units","0","v1234840118","19.5.1","156","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Sexual assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1234840119","19.6.1","104","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Sexual assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1234840120","19.7.1","52","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Sexual assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1234840121","19.8.1","0","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Assault against peace or public officer (level 1) [1460]","Actual incidents","Number","223","units","0","v1234840122","19.9.1","58","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Uttering threats [1627]","Actual incidents","Number","223","units","0","v1234840123","19.10.1","367","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Uttering threats by non-family","Actual incidents","Number","223","units","0","v1234840124","19.11.1","258","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Uttering threats by family","Actual incidents","Number","223","units","0","v1234840125","19.12.1","109","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Uttering threats where relationship type is unknown","Actual incidents","Number","223","units","0","v1234840126","19.13.1","0","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Total robbery [160]","Actual incidents","Number","223","units","0","v1234840127","19.14.1","37","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Dangerous operation, causing death or bodily harm [911]","Actual incidents","Number","223","units","0","v1234840128","19.15.1","4","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Impaired driving, causing death or bodily harm [921]","Actual incidents","Number","223","units","0","v1234840129","19.16.1","1","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Total breaking and entering [210]","Actual incidents","Number","223","units","0","v1234840130","19.17.1","422","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Breaking and entering, non-residential","Actual incidents","Number","223","units","0","v1234840131","19.18.1","195","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Breaking and entering, residential","Actual incidents","Number","223","units","0","v1234840132","19.19.1","227","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Breaking and entering where location type is unknown","Actual incidents","Number","223","units","0","v1234840147","19.34.1","0","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Motor vehicle theft [2135]","Actual incidents","Number","223","units","0","v1234840133","19.20.1","448","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Shoplifting [213]","Actual incidents","Number","223","units","0","v1234840134","19.21.1","214","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Fraud/identity theft/identity fraud [216]","Actual incidents","Number","223","units","0","v1234840135","19.22.1","493","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Fail to comply with order [3410]","Actual incidents","Number","223","units","0","v1234840136","19.23.1","327","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Impaired driving, operating while impaired [923]","Actual incidents","Number","223","units","0","v1234840137","19.24.1","417","","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Provincial/Territorial acts related to COVID-19","Actual incidents","Number","223","units","0","v1234840138","19.25.1","","..","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Calls for service, domestic disturbances / disputes","Actual incidents","Number","223","units","0","v1234840139","19.26.1","","..","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Calls for service, Mental Health Act (MHA) apprehension","Actual incidents","Number","223","units","0","v1234840140","19.27.1","","..","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Calls for service, mental health - other","Actual incidents","Number","223","units","0","v1234840141","19.28.1","","..","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Calls for service, suicide/attempted suicide","Actual incidents","Number","223","units","0","v1234840142","19.29.1","","..","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Calls for service, overdose","Actual incidents","Number","223","units","0","v1234840143","19.30.1","","..","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Calls for service, child welfare check","Actual incidents","Number","223","units","0","v1234840144","19.31.1","","..","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Calls for service, check welfare - general","Actual incidents","Number","223","units","0","v1234840145","19.32.1","","..","","","0"
"2019-03","Quebec Provincial Police [24C01]","24C01","Calls for service, child custody matter - domestic","Actual incidents","Number","223","units","0","v1234840146","19.33.1","","..","","","0"
"2019-03","Ottawa, Ontario, municipal [35010]","35010","Total assaults (levels 1, 2, 3) [141]","Actual incidents","Number","223","units","0","v1210497385","3.1.1","303","","","","0"
"2019-03","Ottawa, Ontario, municipal [35010]","35010","Assaults by non-family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497386","3.2.1","237","","","","0"
"2019-03","Ottawa, Ontario, municipal [35010]","35010","Assaults by family (levels 1, 2, 3)","Actual incidents","Number","223","units","0","v1210497387","3.3.1","66","","","","0"
"2019-03","Ottawa, Ontario, municipal [35010]","35010","Assaults where relationship type is unknown","Actual incidents","Number","223","units","0","v1210497388","3.4.1","0","","","","0"
